Sample Abundance Phylum
aOB02 0.659356868915331 unidentified_Eukaryota
aOB01 0.643791354677381 unidentified_Eukaryota
aOB01 0.10939409690516 Chordata
aOB01 0.067558265316157 other
aOB02 0.0298666816515179 Diatomea
aOB01 0.0285461416349409 Streptophyta
aOB01 0.0241630726437492 Arthropoda
aOB01 0.0239663964710675 other
aOB02 0.0160291080735569 Chlorophyta
aOB01 0.0114915078038296 Mollusca
aOB02 0.00626554092971636 other
aOB02 0.00557717432533049 Mollusca
aOB02 0.000955284267311015 Annelida
aOB01 0.000575980219996347 other
